"language","region","quoteType","typeDisp","quoteSourceName","triggerable","customPriceAlertConfidence","currency","shortName","longName","corporateActions","regularMarketTime","marketState","regularMarketChangePercent","regularMarketPrice","sourceInterval","exchangeDataDelayedBy","tradeable","cryptoTradeable","hasPrePostMarketData","firstTradeDateMilliseconds","priceHint","circulatingSupply","lastMarket","volume24Hr","volumeAllCurrencies","fromCurrency","toCurrency","coinMarketCapLink","regularMarketChange","regularMarketDayHigh","regularMarketDayRange","regularMarketDayLow","regularMarketVolume","regularMarketPreviousClose","fullExchangeName","regularMarketOpen","averageDailyVolume3Month","averageDailyVolume10Day","startDate","maxSupply","totalSupply","coinImageUrl","logoUrl","fiftyTwoWeekLowChange","fiftyTwoWeekLowChangePercent","fiftyTwoWeekRange","fiftyTwoWeekHighChange","fiftyTwoWeekHighChangePercent","fiftyTwoWeekLow","fiftyTwoWeekHigh","fiftyTwoWeekChangePercent","fiftyDayAverage","fiftyDayAverageChange","fiftyDayAverageChangePercent","twoHundredDayAverage","twoHundredDayAverageChange","twoHundredDayAverageChangePercent","marketCap","exchange","messageBoardId","exchangeTimezoneName","exchangeTimezoneShortName","gmtOffSetMilliseconds","market","esgPopulated","symbol"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","4 USD","4 USD","[]","2026-05-11T21:19:04.000Z","REGULAR",-6.191776,0.012743991,15,0,false,false,false,"2025-10-02T00:00:00.000Z",6,1000000000,"CoinMarketCap",5919859,5919859,"4","USD=X","https://coinmarketcap.com/currencies/4four",-0.00084116217,0.013881731,"{""low"":0.012511447,""high"":0.013881731}",0.012511447,5919859,0.013508275,"CCC",0.013508275,5140455,7542700,"2025-10-02T00:00:00.000Z",1000000000,1000000000,"https://s2.coinmarketcap.com/static/img/coins/64x64/38557.png","https://s2.coinmarketcap.com/static/img/coins/64x64/38557.png",0.006372991,1.0003126,"{""low"":0.006371,""high"":0.300619}",-0.28787503,-0.95760757,0.006371,0.300619,-89.6718,0.01257758,0.00016641058,0.013230731,0.02464707,-0.011903079,-0.48294094,12743991,"CCC","finmb_4_CCC","UTC","UTC",0,"ccc_market",false,"4"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","Goatcoin USD","Goatcoin USD","[]","2026-05-11T21:18:04.000Z","REGULAR",0.2584126,6.478064,15,0,false,false,false,"2021-04-01T00:00:00.000Z",4,0,"CoinMarketCap",33,33,"GOAT","USD=X","https://coinmarketcap.com/currencies/goatcoin",0.01669693,6.478064,"{""low"":6.461367,""high"":6.478064}",6.461367,33,6.461367,"CCC",6.461367,5,0,"2021-04-01T00:00:00.000Z",999,0,"https://s2.coinmarketcap.com/static/img/coins/64x64/9069.png","https://s2.coinmarketcap.com/static/img/coins/64x64/9069.png",0.93323326,0.1683069,"{""low"":5.544831,""high"":40.602543}",-34.124477,-0.8404517,5.544831,40.602543,-83.11924,6.671183,-0.19311905,-0.028948246,10.561111,-4.0830474,-0.38661152,0,"CCC","finmb_GOAT_CCC","UTC","UTC",0,"ccc_market",false,"GOAT"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","BNB USD","BNB USD","[]","2026-05-11T21:20:29.000Z","REGULAR",1.6951993,662.89,15,0,false,false,false,"2017-11-09T00:00:00.000Z",2,134785616,"Coinbase",1785496576,1785496576,"BNB","USD=X","https://coinmarketcap.com/currencies/bnb",11.049988,664.1346,"{""low"":649.81903,""high"":664.1346}",649.81903,1785496576,663.5874,"CCC",663.5874,1632677188,1521631576,"2017-07-25T00:00:00.000Z",134785616,134785616,"https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png","https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png",92.206055,0.16157113,"{""low"":570.68396,""high"":1370.546}",-707.656,-0.51633143,570.68396,1370.546,0.48133135,621.8685,41.021484,0.065964885,775.22046,-112.330444,-0.14490129,89343311872,"CCC","finmb_BNB_CCC","UTC","UTC",0,"ccc_market",false,"BNB"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","Hathor USD","Hathor USD","[]","2026-05-11T21:18:04.000Z","REGULAR",0.5151211,0.004360229,15,0,false,false,false,"2020-09-25T00:00:00.000Z",6,515043136,"CoinMarketCap",92710,92710,"HTR","USD=X","https://coinmarketcap.com/currencies/hathor",0.000022345223,0.004406398,"{""low"":0.0042328024,""high"":0.004406398}",0.0042328024,92710,0.0042947643,"CCC",0.0042947643,244657,75565,"2020-05-07T00:00:00.000Z",0,944884544,"https://s2.coinmarketcap.com/static/img/coins/64x64/5552.png","https://s2.coinmarketcap.com/static/img/coins/64x64/5552.png",0.0008352287,0.23694432,"{""low"":0.003525,""high"":0.03772}",-0.03335977,-0.8844054,0.003525,0.03772,-85.838165,0.00469218,-0.0003319513,-0.07074565,0.010532235,-0.006172006,-0.58601105,2245706,"CCC","finmb_HTR_CCC","UTC","UTC",0,"ccc_market",false,"HTR"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","IMGN Labs USD","IMGN Labs USD","[]","2026-05-11T21:19:04.000Z","REGULAR",7.78038,0.00062275433,15,0,false,false,false,"2025-04-01T00:00:00.000Z",6,850521792,"CoinMarketCap",140199,140199,"IMGN","USD=X","https://coinmarketcap.com/currencies/imgn-labs",0.000044955,0.00096456835,"{""low"":5.7501596,""high"":4}",0.00057501596,140199,0.0005892796,"CCC",0.0005892796,102869,98027,"2025-03-26T00:00:00.000Z",1000000000,1000000000,"https://s2.coinmarketcap.com/static/img/coins/64x64/36143.png","https://s2.coinmarketcap.com/static/img/coins/64x64/36143.png",0.00012175436,0.2430227,"{""low"":5.01,""high"":4}",-0.0074032457,-0.92240787,0.000501,0.008026,-90.17351,0.00062236,3.943569e-7,0.0006336476,0.001082185,-0.00045943062,-0.42453983,529666,"CCC","finmb_IMGN_CCC","UTC","UTC",0,"ccc_market",false,"IMGN"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","Nimiq USD","Nimiq USD","[]","2026-05-11T21:18:04.000Z","REGULAR",-0.91994596,0.00055129384,15,0,false,false,false,"2018-07-26T00:00:00.000Z",6,14067582976,"CoinMarketCap",72677,72677,"NIM","USD=X","https://coinmarketcap.com/currencies/nimiq",-0.0000051186653,0.00055621634,"{""low"":5.4750533,""high"":4}",0.00054750533,72677,0.000555623,"CCC",0.000555623,88873,96652,"2018-07-10T00:00:00.000Z",20999999488,14067582976,"https://s2.coinmarketcap.com/static/img/coins/64x64/2916.png","https://s2.coinmarketcap.com/static/img/coins/64x64/2916.png",0.00013129384,0.3126044,"{""low"":4.2,""high"":4}",-0.00074770616,-0.57560134,0.00042,0.001299,-41.53523,0.00049406,0.000057233847,0.11584392,0.000629285,-0.000077991164,-0.123936154,7755372,"CCC","finmb_NIM_CCC","UTC","UTC",0,"ccc_market",false,"NIM"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","Zcash USD","Zcash USD","[]","2026-05-11T21:20:45.000Z","REGULAR",-2.9537756,557.55,15,0,false,false,false,"2017-11-09T00:00:00.000Z",2,16670778,"Coinbase",888318464,888318464,"ZEC","USD=X","https://coinmarketcap.com/currencies/zcash",-16.970032,593.18,"{""low"":550.3387,""high"":593.18}",550.3387,888318464,592.9341,"CCC",592.9341,483220395,995078514,"2016-10-29T00:00:00.000Z",21000000,16670778,"https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png","https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png",523.0738,15.172026,"{""low"":34.4762,""high"":736.51373}",-178.96375,-0.24298766,34.4762,736.51373,1228.5363,339.92816,217.62183,0.6401995,368.05585,189.49414,0.51485157,9335664640,"CCC","finmb_ZEC_CCC","UTC","UTC",0,"ccc_market",false,"ZEC"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","Magic Internet Money USD","Magic Internet Money USD","[]","2026-05-11T21:18:04.000Z","REGULAR",0.01192878,0.99951166,15,0,false,false,false,"2021-09-30T00:00:00.000Z",6,0,"CoinMarketCap",309,309,"MIM","USD=X","https://coinmarketcap.com/currencies/magic-internet-money",0.000119268894,1.0005324,"{""low"":0.9967254,""high"":1.0005324}",0.9967254,309,0.99903286,"CCC",0.99903286,50965,43527,"2014-03-12T00:00:00.000Z",0,698964096,"https://s2.coinmarketcap.com/static/img/coins/64x64/162.png","https://s2.coinmarketcap.com/static/img/coins/64x64/162.png",0.21031767,0.2664968,"{""low"":0.789194,""high"":1.165353}",-0.16584128,-0.14230992,0.789194,1.165353,-0.13275146,0.9977065,0.0018051863,0.001809336,0.9967931,0.0027185678,0.0027273141,0,"CCC","finmb_MIM_CCC","UTC","UTC",0,"ccc_market",false,"MIM"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","SushiSwap USD","SushiSwap USD","[]","2026-05-11T21:20:43.000Z","REGULAR",1.9253877,0.2541,15,0,false,true,false,"2020-08-28T00:00:00.000Z",4,286835040,"Coinbase",19006350,19006350,"SUSHI","USD=X","https://coinmarketcap.com/currencies/sushiswap",0.004799992,0.25991818,"{""low"":0.24191824,""high"":0.25991818}",0.24191824,19006350,0.25136006,"CCC",0.25136006,14358125,17437820,"2020-08-28T00:00:00.000Z",0,291514752,"https://s2.coinmarketcap.com/static/img/coins/64x64/6758.png","https://s2.coinmarketcap.com/static/img/coins/64x64/6758.png",0.080754995,0.46586284,"{""low"":0.173345,""high"":1.083494}",-0.829394,-0.76548094,0.173345,1.083494,-69.41483,0.20808037,0.04601963,0.22116277,0.2911697,-0.037069708,-0.12731306,72935168,"CCC","finmb_SUSHI_CCC","UTC","UTC",0,"ccc_market",false,"SUSHI"
"en-US","US","CRYPTOCURRENCY","Cryptocurrency","CoinMarketCap",true,"HIGH","USD","ZeroSwap USD","ZeroSwap USD","[]","2026-05-11T21:18:04.000Z","REGULAR",-8.308308,0.00020993689,15,0,false,false,false,"2020-10-19T00:00:00.000Z",6,63429104,"CoinMarketCap",270637,270637,"ZEE","USD=X","https://coinmarketcap.com/currencies/zeroswap",-0.000019022671,0.00023194692,"{""low"":2.0290108,""high"":4}",0.00020290108,270637,0.00022593707,"CCC",0.00022593707,287861,283854,"2020-10-18T00:00:00.000Z",0,100000000,"https://s2.coinmarketcap.com/static/img/coins/64x64/7438.png","https://s2.coinmarketcap.com/static/img/coins/64x64/7438.png",0.000035936886,0.20653382,"{""low"":1.74,""high"":4}",-0.0060170633,-0.96628606,0.000174,0.006227,-96.08794,0.00022788,-0.000017943108,-0.078739285,0.00030356,-0.00009362311,-0.30841714,13316,"CCC","finmb_ZEE_CCC","UTC","UTC",0,"ccc_market",false,"ZEE"
